
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
OLD       01-000099 O US AL GALLION          32 29 52.00N 087 43 05.00W TOWER              1 00370 00565 M 2 C N 2011ASO03593OE C2012045 
NEW       01-000099 O US AL GALLION          32 29 52.00N 087 43 05.00W TOWER              1 00370 00565 M 2 C N 2025ASO07692OE C2025263 
OLD       01-000257 O US AL DECATUR          34 29 25.00N 086 37 37.00W TOWER              2 00500 01810 R 5 E M 1988ASO00912OE C2014138 
NEW       01-000257 O US AL LACEYS SPRING    34 29 26.00N 086 37 37.90W TOWER              1 00490 01812 D 4 D P 2023ASO02666OE C2025262 
OLD       01-000621 O US AL TALLADEGA        33 27 44.47N 086 07 26.23W TOWER              1 00213 01296 N 1 A N 2016ASO11122OE C2017033 
NEW       01-000621 O US AL TALLADEGA        33 27 44.47N 086 07 26.23W TOWER              1 00216 01299 N 1 A N 2025ASO14885OE C2025290 
OLD       01-001154 O US AL GADSDEN          34 02 05.00N 086 04 06.00W TOWER              1 00237 01195 M 1 A N 2021ASO33694OE C2022046 
NEW       01-001154 O US AL GADSDEN          34 02 05.00N 086 04 06.00W TOWER              1 00232 01190 M 1 A N 2024ASO24891OE C2025263 
OLD       01-001172 O US AL PINCKARD         31 20 35.62N 085 33 05.77W TOWER              1 00315 00675 D 5 D N 2003ASO03987OE C2006057 
NEW       01-001172 O US AL PINCKARD         31 20 36.10N 085 33 06.90W TOWER              1 00315 00675 D 4 D N 2025ASO09878OE C2025263 
OLD       01-001201 O US AL TUNNEL SPRINGS   31 37 36.89N 087 12 14.00W TOWER              1 00277 00765 M 1 A N 2011ASO05345OE C2017152 
NEW       01-001201 O US AL TUNNEL SPRINGS   31 37 36.89N 087 12 14.00W TOWER              1 00277 00765 M 1 A N 2025ASO03380OE C2025263 
DISMANTLE 01-001221 O US AL SCOTTSBORO       34 42 18.00N 086 00 25.00W TOWER              1 00160 00790 N 5 D N 1989ASO01663OE D2025263 
OLD       01-001300 O US AL HEFLIN           33 38 36.04N 085 30 08.40W TOWER              1 00405 01412 M 1 A N 2014ASO06166OE C2017003 
NEW       01-001300 O US AL HEFLIN           33 38 36.04N 085 30 08.40W TOWER              1 00405 01412 M 1 A N 2025ASO02542OE C2025263 
OLD       01-001346 O US AL SELMA            32 27 50.00N 087 05 45.00W TOWER              1 00497 00674 D 5 D N 2009ASO01561OE C2012072 
NEW       01-001346 O US AL SELMA            32 27 50.66N 087 05 46.19W TOWER              1 00497 00666 D 4 D N 2025ASO04410OE C2025263 
OLD       01-001352 O US AL SELMA            32 28 49.30N 086 59 59.60W TOWER              1 00297 00581 D 2 C N 2014ASO09456OE C2015132 
NEW       01-001352 O US AL VALLEY GRANDE    32 28 49.30N 086 59 59.60W TOWER              1 00299 00582 D 2 C N 2025ASO07591OE C2025263 
OLD       01-001397 O US AL ROANOKE          33 02 39.00N 085 20 15.00W TOWER              1 00500 01355 R 5 E M 1992ASO00552OE C2014138 
NEW       01-001397 O US AL ROANOKE          33 02 38.61N 085 20 13.27W TOWER              1 00496 01351 R 4 D P 2025ASO05956OE C2025263 
OLD       01-001419 O US AL MCINTOSH         31 17 53.57N 088 04 51.78W TOWER              1 00295 00502 R 2 C M 2003ASO02878OE C2005282 
NEW       01-001419 O US AL MCINTOSH         31 17 53.57N 088 04 51.78W TOWER              1 00298 00505 R 2 C P 2025ASO06692OE C2025263 
